id_siniestro;fecha_ocurrencia;fecha_reporte;monto_pagado;monto_reserva;ramo;id_poliza
S001;15/1/2023;20/1/2023;1000;5000;Automoviles;POL-001
S002;10/2/2023;15/3/2023;2000;8000;Automoviles;POL-002
S003;1/6/2023;5/6/2023;1500;4000;Vida;POL-003
S004;20/12/2022;10/1/2023;3000;10000;Automoviles;POL-004
S005;5/11/2022;20/5/2023;4000;12000;Vida;POL-005
S006;10/3/2023;12/3/2023;1200;3000;Automoviles;POL-006
S007;1/1/2023;15/1/2024;5000;15000;Vida;POL-007
S008;20/5/2023;1/6/2023;800;2000;Automoviles;POL-008
S009;15/8/2022;30/12/2022;2500;7000;Vida;POL-009
S010;15/2/2023;20/2/2023;1800;6000;Automoviles;POL-010
S011;1/1/2024;1/1/2024;1000;5000;Automoviles;POL-011
S012;1/1/2025;1/1/2026;2000;8000;Automoviles;POL-012
S013;1/1/2024;1/1/2024;1500;4000;Vida;POL-013
S014;1/1/2025;1/1/2025;3000;10000;Automoviles;POL-014
S015;1/1/2021;1/1/2024;4000;12000;Vida;POL-015
S016;1/1/2024;1/1/2025;1200;3000;Automoviles;POL-016
S017;1/1/2024;1/1/2024;5000;15000;Vida;POL-017
S018;1/1/2024;1/1/2025;800;2000;Automoviles;POL-018
S019;1/1/2025;1/1/2025;2500;7000;Vida;POL-019
S020;1/1/2025;1/1/2025;1800;6000;Automoviles;POL-020
S021;1/1/2026;1/1/2026;1000;5000;Automoviles;POL-021
S022;1/1/2024;1/1/2025;2000;8000;Automoviles;POL-022
S023;1/1/2024;1/1/2026;1500;4000;Vida;POL-023
S024;1/1/2024;1/1/2024;3000;10000;Automoviles;POL-024
S025;1/1/2025;1/1/2025;4000;12000;Vida;POL-025
S026;1/1/2025;1/1/2026;1200;3000;Automoviles;POL-026
S027;1/1/2026;1/1/2026;5000;15000;Vida;POL-027
S028;1/1/2021;1/1/2022;800;2000;Automoviles;POL-028
S029;1/1/2026;1/1/2026;2500;7000;Vida;POL-029
